barcode,name,shelfLifeDays,notes,isActive
0623461234567,Butter Croissant 4-Pack,2,Best for same/next day,TRUE
0623467654321,Sourdough Loaf (Frozen),3,,TRUE
062342,NN Mini Pita,7,,TRUE
062343,Cedar Bakery Pitas,7,,TRUE
062344,PC Naan Dipper,7,,TRUE
062345,PC Traditional Naan Flatbreads,5,,TRUE
062346,PC Thin Pizza Crusts,5,,TRUE
062347,Tandoori Naan,14,,TRUE
062348,Suraj Naan Breads,14,,TRUE
062349,Roti (Plain/Whole),14,,TRUE
062350,PC Protein Tortilla,28,,TRUE
062351,All PC Brioche/LFD Brioche,14,,TRUE
062352,PC Naan Rounds (Bread Wall),7,,TRUE
062353,PC Thin Multigrain Buns (Bread Wall),7,,TRUE
062354,King Hawaiian Rolls (Bread Wall),14,,TRUE
062355,T&T Tropical Cakes,7,,TRUE
062356,T&T Custard and Coconut Cream Buns,7,,TRUE
062357,Baxter Loaf Cakes,7,,TRUE
062358,Crisp Loaf Cakes,7,,TRUE
062359,Quinn’s Strawberry/Chocolate Rolls/Log,14,,TRUE
062360,FM Macaroons,10,,TRUE
062361,FM Pecan Tarts,7,,TRUE
062362,Cinnaroll Buns,21,,TRUE
062363,T&T Pandesal Buns,5,,TRUE
062364,All PC Mini Muffins,5,,TRUE
062365,FM Dates/Fudge/Nanaimo,14,,TRUE
062366,FM Two Bite Brownies,7,,TRUE
062367,All Old Mill Pies,10,,TRUE
062368,No Label Pecan Pie,10,,TRUE
062369,Di Manno Pies,10,,TRUE
062370,All FM Pies,5,,TRUE
062371,FM Cakes,7,,TRUE
062372,Lemon Squares,14,,TRUE
062373,Donuts,7,,TRUE
062374,CT Bakery Paczki Donuts,7,,TRUE
062375,Valentine Two Bite Cupcakes,21,,TRUE
062376,Valentine Mini Donuts,10,,TRUE
062377,Kimberly Cookies,14,,TRUE
062378,NN Kaiser/Italian Buns,5,,TRUE
062379,Old Mill Loaf Cakes,7,,TRUE
062380,FGF Muffins,7,,TRUE
062381,PC Hot Cross Buns (Bread Wall),10,,TRUE
062382,FM Mini/Chocolatines/Butter Croissants,5,,TRUE
062383,FM Sandwich Croissants,7,,TRUE
062384,Dumas Croissants,7,,TRUE
062385,FM Sliced Loaf Cakes,5,,TRUE
062386,FM Loaf Cakes,7,,TRUE
062387,Donut Time Donuts,7,,TRUE
062388,Charlotte Celebration Poppers,7,,TRUE
062389,All UB Apple/Cherry Turnover/Strudel,7,,TRUE
062390,All Two Bite Cupcakes,21,,TRUE
062391,All FM Cookies,7,,TRUE
062392,FM Angel Food Cakes,14,,TRUE
062393,No Label Chocolate Mini Croissants,14,,TRUE
062394,Simple Joy Cream Cheese Croissant,7,,TRUE
062395,Handcrafted Artisanal Donuts,7,,TRUE
062396,FM Donuts,7,,TRUE
062397,All FM Muffins (End Cap),5,,TRUE
062398,All Ace Products,5,,TRUE
062399,La Baguetterie Products,7,,TRUE
062400,Vanilla Dessert Cups,21,,TRUE
062401,Slice Carrot Cake,5,,TRUE
062402,Pizza Buns,14,,TRUE
